osm_id,name,category,risk_tier,risk_label,longitude,latitude
1257816960,Unnamed,building,4.0,Very High,3.2451875,6.454072
1258219167,Unnamed,building,3.0,High,3.2731271,6.4486262
1258219201,Unnamed,building,3.0,High,3.2715933,6.4464679
1263532903,Unnamed,building,3.0,High,3.2782699,6.5015442
1262130132,Unnamed,building,2.0,Moderate,3.2774507,6.5145261
832368041,Unnamed,building,4.0,Very High,3.234445,6.4278572
1266789233,Unnamed,building,2.0,Moderate,3.2331437,6.4533225
1257514830,Unnamed,building,4.0,Very High,3.2746674,6.4793936
1258712439,Unnamed,building,3.0,High,3.2758626,6.4560436
1258140981,Unnamed,building,4.0,Very High,3.3049424,6.482454
1263147223,Unnamed,building,2.0,Moderate,3.2409765,6.5209166
1257513347,Unnamed,building,3.0,High,3.2867229,6.4663534
1258305381,Unnamed,building,4.0,Very High,3.2735882,6.4780968
1276430410,Unnamed,building,2.0,Moderate,3.3047587,6.4964352
1258612952,Unnamed,building,2.0,Moderate,3.2509769,6.4632436
1262938573,Unnamed,building,1.0,Low,3.2465485,6.513889
1261388800,Unnamed,building,3.0,High,3.2476176,6.5028407
1264078942,Unnamed,building,4.0,Very High,3.2520789,6.4546941
1258205138,Unnamed,building,2.0,Moderate,3.2785969,6.474014
1266121813,Unnamed,building,0.0,NoData,3.2455248,6.4222979
1259679337,Unnamed,building,4.0,Very High,3.2445008,6.5224504
1258593816,Unnamed,building,3.0,High,3.2314817,6.4583789
1258604083,Unnamed,building,4.0,Very High,3.2493292,6.4589936
1258601107,Unnamed,building,4.0,Very High,3.2405656,6.459034
1258662623,Unnamed,building,1.0,Low,3.2842611,6.4611878
1262068858,Unnamed,building,0.0,NoData,3.2730725,6.5238762
1261988426,Unnamed,building,3.0,High,3.2675086,6.5185083
1262529784,Unnamed,building,2.0,Moderate,3.2627464,6.5158401
1266656737,Unnamed,building,3.0,High,3.2326492,6.4553541
1263201105,Unnamed,building,4.0,Very High,3.2469303,6.5088637
1257784043,Unnamed,building,2.0,Moderate,3.2559258,6.4466839
1263701211,Unnamed,building,2.0,Moderate,3.2568224,6.4960432
1257630515,Unnamed,building,1.0,Low,3.260038,6.4368433
1259669402,Unnamed,building,0.0,NoData,3.2513327,6.5229211
1258547657,Unnamed,building,3.0,High,3.2871248,6.4545763
1263682639,Unnamed,building,4.0,Very High,3.2777514,6.4964524
1276177019,Unnamed,building,4.0,Very High,3.3020275,6.5040682
1276125970,Unnamed,building,4.0,Very High,3.2964817,6.5094041
1267656186,Unnamed,building,2.0,Moderate,3.2203377,6.4983759
1257418785,Unnamed,building,4.0,Very High,3.3052966,6.4582791
1285604318,Unnamed,building,0.0,NoData,3.3634686,6.4115364
1258426533,Unnamed,building,3.0,High,3.2618239,6.4598976
1258599694,Unnamed,building,1.0,Low,3.2549864,6.4590857
1267780716,Unnamed,building,3.0,High,3.3016992,6.4545593
1276320276,Unnamed,building,2.0,Moderate,3.3071525,6.5020097
1258581264,Unnamed,building,2.0,Moderate,3.2356657,6.4395726
1259669617,Unnamed,building,0.0,NoData,3.2510569,6.5231675
1257794185,Unnamed,building,4.0,Very High,3.2716166,6.4678142
1275785473,Unnamed,building,4.0,Very High,3.3054325,6.5128628
1263547923,Unnamed,building,2.0,Moderate,3.2566913,6.4868979
1259630293,Unnamed,building,4.0,Very High,3.2594587,6.5176767
1258016241,Unnamed,building,3.0,High,3.2472553,6.4698639
1257599281,Unnamed,building,4.0,Very High,3.2392678,6.4527001
1267625367,Unnamed,building,3.0,High,3.2254186,6.4532071
1258569726,Unnamed,building,0.0,NoData,3.2348722,6.4391137
1276439685,Unnamed,building,3.0,High,3.293758,6.4858692
1262510669,Unnamed,building,4.0,Very High,3.2724176,6.5059657
1263147225,Unnamed,building,2.0,Moderate,3.2408257,6.5209642
1258603386,Unnamed,building,2.0,Moderate,3.2917403,6.4525147
1257493425,Unnamed,building,4.0,Very High,3.2597531,6.4417337
1257492739,Unnamed,building,3.0,High,3.2652284,6.4374248
1258432237,Unnamed,building,3.0,High,3.2612268,6.4326358
1259738627,Unnamed,building,0.0,NoData,3.2216284,6.5230514
1275789631,Unnamed,building,0.0,NoData,3.3080931,6.5134493
1276244561,Unnamed,building,4.0,Very High,3.2935251,6.4975432
1259300580,Unnamed,building,3.0,High,3.2499011,6.5215411
1263018548,Unnamed,building,3.0,High,3.258691,6.4978629
1262153951,Unnamed,building,3.0,High,3.2753993,6.5065159
1260554689,Unnamed,building,3.0,High,3.2831874,6.5076877
1258223636,Unnamed,building,3.0,High,3.2582825,6.4702045
1258687538,Unnamed,building,2.0,Moderate,3.2639753,6.4558687
1257787640,Unnamed,building,2.0,Moderate,3.2948003,6.4581535
1267536722,Unnamed,building,3.0,High,3.2318265,6.4784162
1272449487,Unnamed,building,4.0,Very High,3.2247138,6.4552836
1270799539,Unnamed,building,4.0,Very High,3.2827383,6.5104988
1258423610,Unnamed,building,4.0,Very High,3.2621776,6.4319091
1262295698,Unnamed,building,0.0,NoData,3.2787669,6.5189997
1275886072,Unnamed,building,0.0,NoData,3.3078848,6.5092897
1263643936,Unnamed,building,2.0,Moderate,3.2381917,6.52122
1263702189,Unnamed,building,2.0,Moderate,3.2688533,6.4926864
1262169777,Unnamed,building,2.0,Moderate,3.2792591,6.5090067
1262129841,Unnamed,building,3.0,High,3.233601,6.5032107
1260594577,Unnamed,building,2.0,Moderate,3.255844,6.4652295
1257519141,Unnamed,building,3.0,High,3.2888443,6.4677268
1257840421,Unnamed,building,3.0,High,3.3033893,6.473815
1267678067,Unnamed,building,3.0,High,3.2272429,6.4500763
1262071124,Unnamed,building,3.0,High,3.2540904,6.5091751
1262068938,Unnamed,building,0.0,NoData,3.2733543,6.5237869
1257630501,Unnamed,building,4.0,Very High,3.2589061,6.436433
1258436891,Unnamed,building,4.0,Very High,3.2631634,6.4604901
1258824321,Unnamed,building,3.0,High,3.251341,6.4217619
1275413268,Unnamed,building,0.0,NoData,3.3013663,6.5225224
1262852230,Unnamed,building,2.0,Moderate,3.2672703,6.5000707
1262169720,Unnamed,building,4.0,Very High,3.2768562,6.5062387
